cleaned_id,cleaned_file,source_file,match_type,confidence
1,01_滾刃快換刃__L-int__S-blue.md,01 如何增加换刃效率_Sam.txt,numbered,1.0
2,02_微站膝換刃__L-beg-int__S-green-blue.md,02 下半身带“不动”转弯的原因_Sam.txt,numbered,1.0
3,03_站姿開閉__L-int-adv__S-blue-black.md,03 开放站姿还是闭合站姿？讲清楚_Sam.txt,numbered,1.0
4,04_即壓早變__L-int__S-blue.md,04 让板子的形变：在弯型里早点发生_Sam.txt,numbered,1.0
5,05_後腿勿直__L-beg-int__S-green-blue.md,05 后刃突突：可能你腿太“长”_Sam.txt,numbered,1.0
6,06_起伏扭轉__L-int__S-blue.md,06 会起伏之后：试试这个_Sam.txt,numbered,1.0
7,07_滾線前沉__L-beg-int__S-green-blue.md,07 一招教你绿道到蓝道控速_Sam.txt,numbered,1.0
8,08_蘑菇上轉__L-adv__S-blue-black-mogul.md,08 大蘑菇，冰蘑菇控速不好？试试这个_Sam.txt,numbered,1.0
9,09_貼舌防駝__L-beg-int__S-green-blue.md,09 后刃弯腰严重的看这个_Sam.txt,numbered,1.0
10,10_折疊降立刃__L-int__S-blue.md,10 雪况不利于立刃：利用折叠_Sam.txt,numbered,1.0
11,11_平板過渡防趴__L-beg-int__S-green-blue.md,11 后换前弯腰：看看这个_Sam.txt,numbered,1.0
12,12_前換後張力刻滑__L-int-adv__S-blue-black.md,12 后刃进阶：你肯定有的问题_Sam.txt,numbered,1.0
13,13_後跟外側導尾__L-beg-int__S-green-blue.md,13 又一个改重心压前脚的小技巧.txt,numbered,1.0
14,14_髖不停轉融下降__L-adv__S-blue-black-mogul.md,14 下降不影响轴转.txt,numbered,1.0
17,17_髖幅減小穩搓雪__L-int__S-blue-black.md,17 动作幅度过大会造成不稳.txt,numbered,1.0
18,18_夾臀頂髖換刃__L-int__S-green-blue.md,18 后刃的“King”.txt,numbered,1.0
19,19_樓梯包放鬆選壓__L-adv__S-blue-black-mogul.md,19 “楼梯”包：别使劲给压力.txt,numbered,1.0
20,20_五步前刃貼地刻__L-adv__S-blue.md,20 5步教会你：前刃摸地刻滑.txt,numbered,1.0
26,26_冰包頂撞減速__L-adv__S-blue-black-mogul.md,26 冰蘑菇基础：下个包顶“撞”.txt,numbered,1.0
29,29_手不入視野挺背__L-beg-int__S-green-blue.md,29 如何背直：双手永远别出现.txt,numbered,1.0
30,30_冰面膝前壓穩板底__L-int__S-blue-black.md,30 如何滑下午的冰面.txt,numbered,1.0
31,31_全程分段施壓__L-int-adv__S-blue-black.md,31 “Early Pressure”之后的全程施压.txt,numbered,1.0
32,32_蛇道換刃四步__L-beg-int__S-green-blue.md,32 🐍蛇道基础篇：如何在蛇道内换刃.txt,numbered,1.0
35,35_混粉壓力轉向__L-int__S-blue.md,35 又软又硬的粉雪怎么办.txt,numbered,1.0
36,36_SpeedCheck厚雪減速__L-int__S-blue.md,36 又烂又粘的雪： speed check plus.txt,numbered,1.0
37,37_後腳擰板造上弧__L-int-adv__S-blue-black.md,37 上半弧（闭合弯）第一集：结束时拧板.txt,numbered,1.0
38,38_後腳推時機閉合彎__L-int__S-blue.md,38 上半弧第二集：后腿搓（碾雪）和踢（无抓地力）.txt,numbered,1.0
39,39_平板過渡折疊控速__L-int__S-blue.md,39 不做这个，你的折叠无效.txt,numbered,1.0
40,40_高級道折疊範圍控__L-adv__S-blue-black-mogul.md,40 不做这个你折叠无效（高级道和蘑菇）.txt,numbered,1.0
41,41_傾倒折疊立刃選法__L-int__S-green-blue.md,41 什么是立刃？如何立刃？你需要哪种立刃方式.txt,numbered,1.0
42,42_小彎三要素調整__L-int__S-blue.md,42 Saddle 小弯.txt,numbered,1.0
43,43_拉長Ollie抗顛__L-int__S-blue-black.md,43 Elongate你的弯.txt,numbered,1.0
44,44_Deflection雙側推回彈__L-int__S-blue.md,44 Deflection 传导（回弹）简单逻辑.txt,numbered,1.0
45,45_滾後髖開結束彎__L-int__S-blue.md,45 髋关节这样做｜第一集：后刃弯末不卡.txt,numbered,1.0
46,46_後髖前推防卡__L-int__S-blue.md,46 髋关节这样做｜第二集：防止后腿扫.txt,numbered,1.0
47,47_開放站姿基礎腳壓__L-int__S-blue.md,47 开放站姿｜第一集：如何保持开放.txt,numbered,1.0
48,48_開放站姿換重心序__L-int-adv__S-blue-black.md,48 开放站姿｜第二集：换重心可以排在二三位.txt,numbered,1.0
49,49_開放站姿抽拉板__L-adv__S-blue-black-mogul.md,49 开放站姿｜第三集：过包抽拉板子.txt,numbered,1.0
50,50_後刃膝頂前刃降立刃__L-int__S-blue.md,50 开板： 如何不让后刃卡住摔倒.txt,numbered,1.0
51,51_引申釋刃換刃__L-int__S-blue.md,51 引申：释放板刃去换刃.txt,numbered,1.0
52,52_平地推滑居中__L-beg-int__S-green.md,52 平地小练习：感受重心居中.txt,numbered,1.0
53,53_企鵝步__L-beg__S-green.md,53 企鹅步.txt,numbered,1.0
54,54_企鵝步進階盪板__L-beg-int__S-green.md,54 企鹅步进阶： 荡板（TicTac）.txt,numbered,1.0
55,55_蘑菇先學減速停點__L-adv__S-blue-black-mogul.md,55 先学会在蘑菇里减速.txt,numbered,1.0
56,56_後刃膝踝同彎防鎖__L-int__S-blue.md,56 后刃弯结束时候腿如何保持弯曲.txt,numbered,1.0
57,57_髖配膝方向增抓地__L-int__S-blue-black.md,57 后膝盖的弯曲方向.txt,numbered,1.0
58,58_彎轉完控速包用__L-int-adv__S-blue-black-mogul.md,58 在“包”里通过把弯转“完”控速.txt,numbered,1.0
59,59_前手背後胸開__L-int__S-blue.md,59 “科班”后遗症：前手的位置.txt,numbered,1.0
60,60_延長加速段防僵__L-int__S-blue.md,60 不要“Park and Ride”.txt,numbered,1.0
61,61_雙黑前刃髖壓__L-adv__S-black.md,61 双黑前刃站姿：决定了你是否能继续转.txt,numbered,1.0
62,62_碾轉360步驟__L-int__S-green-blue.md,62 平花粉雪通用小技巧：碾转360.txt,numbered,1.0
63,63_前刃結束全閉合__L-int__S-blue.md,63 后刃弯不完整怎么办.txt,numbered,1.0
64,64_團身換刃維穩__L-int__S-blue-mogul.md,64 团身 Down- Unweighting.txt,numbered,1.0
66,66_冰面搓雪小彎__L-int-adv__S-blue-black.md,66 如何冰面搓雪转弯.txt,numbered,1.0
67,67_前肩視線收胯__L-int__S-blue-black.md,67 如果你过度开肩开胯：试试这个动作.txt,numbered,1.0
68,68_預彎團身過包__L-int-adv__S-blue-black-mogul.md,68 团身过蘑菇：解决忽快忽慢.txt,numbered,1.0
69,69_慢順序換重立壓轉__L-beg-int__S-green-blue.md,69 如果你弯转的急：试试这个顺序.txt,numbered,1.0
70,70_蘑菇前刃信心直推__L-adv__S-blue-black-mogul.md,70 如果你害怕蘑菇里后刃换前刃.txt,numbered,1.0
71,71_陡坡後刃開髖下蹲__L-adv__S-black.md,71 如果陡坡后刃弯腰撅屁股：试试这个.txt,numbered,1.0
72,72_窄平連接道刃到刃__L-beg-int__S-green-blue.md,72 安全通过连接道：只用刃，别平板.txt,numbered,1.0
73,73_提前施壓噴雪練習__L-int__S-blue-black.md,73 尽早施压小练习.txt,numbered,1.0
74,74_用重心換刃防節奏變形__L-int-adv__S-blue-black.md,74 节奏变快后：动作变形怎么处理.txt,numbered,1.0
75,75_板尾回彈重心回中__L-int__S-blue.md,75 你入弯如果是这样：你得看看这个视频.txt,numbered,1.0
76,76_上半弧必要性__L-int-adv__S-blue-black.md,76 你有上半弧吗？这个有存在的必要么？.txt,numbered,1.0
77,77_前刃噴雪過大修正__L-int__S-blue-black.md,77 你的前刃喷雪大吗？可能是“坏事”.txt,numbered,1.0
78,78_前後移動放慢控抖__L-int__S-blue-black.md,78 你的前中后移动太快了.txt,numbered,1.0
79,79_閉髖雙腳跳轉__L-int__S-green-blue.md,79 你的外转起跳Ollie是自愿的么？.txt,numbered,1.0
80,80_搓雪小彎提前施壓__L-int__S-blue.md,80 你的搓雪转弯不小：看看这个.txt,numbered,1.0
81,81_開髖降低重心區間__L-int__S-blue-black.md,81 你是否被朋友和教练说过：顿低点，弯膝盖？.txt,numbered,1.0
82,82_開放站姿vs軸轉順序__L-int__S-blue.md,82 你看看你是开放站姿还是轴转.txt,numbered,1.0
83,83_固定器角度間距設定__L-int__S-all.md,83 我是这么设置我固定器的角度和间距.txt,numbered,1.0
84,84_別一直蹲起伏換重__L-int__S-blue.md,84 别老蹲着滑：会累.txt,numbered,1.0
85,85_極限折疊控速練習__L-int__S-blue-black.md,85 折叠的极限，陡坡控速.txt,numbered,1.0
86,86_後刃開髖下蹲減速__L-int-adv__S-blue-black.md,86 改变你后刃“蹲坑”.txt,numbered,1.0
87,87_刻滑先傾後折__L-int-adv__S-blue.md,87 刻滑： 先倾倒再折叠（发生的位置）.txt,numbered,1.0
88,88_刻滑RailToRail蓄力__L-int-adv__S-blue.md,88 刻滑小练习：Rail to Rail.txt,numbered,1.0
89,89_後刃先平板耐心細線__L-int-adv__S-blue-black.md,89 刻滑后刃： 如何入弯不下坠或者扫出去.txt,numbered,1.0
90,90_小回轉開肩角度__L-int__S-blue.md,90 单板开肩：小回转.txt,numbered,1.0
91,91_開肩底層邏輯__L-int__S-blue.md,91 单板开肩：底层逻辑.txt,numbered,1.0
92,92_後刃防突突保餘地__L-int__S-blue-black.md,92 单板后刃“突突突”解决方法之一.txt,numbered,1.0
93,93_爛雪少立刃多推壓__L-int__S-blue.md,93 单板如何滑“烂雪”.txt,numbered,1.0
94,94_前後刃重心位置__L-beg-int__S-green-blue.md,94 单板重心转换第一课：前刃后刃的重心位置.txt,numbered,1.0
95,95_刃間卡頓拧板彈接__L-int-adv__S-blue-black-mogul.md,95 单板减少刃与刃之间“卡顿”现象.txt,numbered,1.0
212,212_Apex跳戒肩轉__L-adv__S-park.md,21一个练习：改你肩带转.txt,newly_processed,1.0
213,213_五種板型選擇建議__L-adv__S-park.md,如果让我选5种板型.txt,newly_processed,1.0
214,214_彎末壓力釋放練習__L-adv__S-all.md,弯末压力释放（late pressure release）.txt,newly_processed,1.0
215,215_後腳送轉別掰髖__L-adv__S-powder.md,"基础：转弯别""掰""弯.txt",newly_processed,1.0
216,216_水泥粉開髖後坐搖板頭__L-adv__S-powder.md,15水泥粉里不摔跤小技巧.txt,newly_processed,1.0
217,217_背部夾緊增旋轉力__L-adv__S-all.md,进阶： 背部夹紧增加旋转.txt,newly_processed,1.0
218,218_膝隨髖轉牛仔站姿__L-adv__S-all.md,"试试让你的膝盖这么""转"".txt",newly_processed,1.0
219,219_被動傾倒折疊控刃__L-adv__S-all.md,进阶： 被动倾倒.txt,newly_processed,1.0
220,220_視線山下反擰縮彎__L-adv__S-all.md,进阶：视线别再看两侧了.txt,newly_processed,1.0
221,221_起降概念起才減速__L-adv__S-all.md,"基础到进阶： ""起降""概念.txt",newly_processed,1.0
222,222_轉彎先降後轉建立抓地__L-adv__S-blue-black.md,"转弯时候的""转""先转还是后转？.txt",newly_processed,1.0
223,223_轉髖不轉膝生物力學__L-adv__S-all.md,浅聊：你其实转的不是你的膝盖，而是….txt,newly_processed,1.0
224,224_道外入門三階段__L-adv__S-park.md,第一出道外：试试练习这三个阶段.txt,newly_processed,1.0
